기능명,주 기능,상세 기능,설명,우선순위,비고,기능,최종 편집자
회원가입,SNS 로그인,"카카오, 구글",,상,,login,"야옹 "
,닉네임 설정,닉네임 등록,,하,,login,"야옹 "
,,닉네임 중복 확인,,,,login,김주찬
피드 조회,추천 알고리즘  정렬,"1. 팔로워하고 있는 유저의 새 피드
2. 유저의 관심/추천 
3. 최근 2주의 인기순(북마크 수, 좋아요 수, 댓글 수) 피드
순으로 피드 출력",,상,,sns,김주찬
,"피드 작성자 프로필 조회 ","유저 프로필 이미지, 닉네임, 팔로우 여부 출력",,중,,sns,"야옹 "
,,작성자 팔로우 및 취소,,중,,sns,김주찬
,피드 이미지 조회,태그된 상품을 포함한 이미지 조회(대표 이미지),"이미지에 상품 정보(제품명, 가격)를 작은 모달로 출력",상,,sns,김주찬
,,피드 이미지 리스트 조회(그 외 이미지),이미지 위에서 이미지 슬라이드를 통해 이미지 리스트 조회,상,,sns,"야옹 "
,"태그 상품 리스트 ",대표이미지에 태그된 상품 리스트 조회,,상,,sns,김주찬
,,상품 태그 클릭 시 해당 상품의 정보 페이지로 이동,"사이트에 등록된 상품일 경우 상품 페이지로 이동, 없는 상품일 경우 ‘등록되지 않은 상품입니다’ 알림창 출력",상,,sns,NOO
,,태그된 상품 중 관심 상품 찜❤️을 통해 찜❤️리스트에 추가,,상,,sns,NOO
,좋아요 기능,좋아요 활성화/비활성화 및 좋아요 수 출력,,상,,sns,김주찬
,댓글 기능,댓글 버튼 클릭 시 댓글 페이지 출력,,상,,sns,김주찬
,,"댓글 작성자, 댓글 내용, 댓글 작성 일자 출력",,상,,sns,NOO
,,댓글 작성자의 프로필 정보 조회 가능,,중,,sns,NOO
,,@을 통해 추가 답변하고 싶은 유저를 멘션해서 답변,,중,,sns,NOO
,,댓글 내용 작성하여 댓글 추가,,상,,sns,NOO
,해시태그,피드와 관련된 해시태그 리스트 출력,,상,,sns,김주찬
,북마크 기능,북마크 활성화/비활성화 및 북마크 수 출력,,상,,sns,김주찬
